"SYMBOL","ENSEMBL","GENENAME"
"FGFRL1","ENSG00000127418","fibroblast growth factor receptor like 1"
"FIBP","ENSG00000172500","FGF1 intracellular binding protein"
"FKRP","ENSG00000181027","fukutin related protein"
"FLII","ENSG00000177731","FLII actin remodeling protein"
"FLNB","ENSG00000136068","filamin B"
"FMNL1","ENSG00000184922","formin like 1"
"FMNL3","ENSG00000161791","formin like 3"
"FNBP4","ENSG00000109920","formin binding protein 4"
"FNDC3A","ENSG00000102531","fibronectin type III domain containing 3A"
"FTSJ3","ENSG00000108592","FtsJ RNA 2'-O-methyltransferase 3"
"FUT1","ENSG00000174951","fucosyltransferase 1 (H blood group)"
"FUT2","ENSG00000176920","fucosyltransferase 2 (H blood group)"
"GABARAP","ENSG00000170296","GABA type A receptor-associated protein"
"GABPA","ENSG00000154727","GA binding protein transcription factor subunit alpha"
"GALNT6","ENSG00000139629","polypeptide N-acetylgalactosaminyltransferase 6"
"GAMT","ENSG00000130005","guanidinoacetate N-methyltransferase"
"GAREM1","ENSG00000141441","GRB2 associated regulator of MAPK1 subtype 1"
"GCAT","ENSG00000100116","glycine C-acetyltransferase"
"GDPD3","ENSG00000102886","glycerophosphodiester phosphodiesterase domain containing 3"
"GGA2","ENSG00000103365","golgi associated, gamma adaptin ear containing, ARF binding protein 2"
"GLDN","ENSG00000186417","gliomedin"
"GPATCH8","ENSG00000186566","G-patch domain containing 8"
"GPC2","ENSG00000213420","glypican 2"
"GPIHBP1","ENSG00000277494","glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1"
"GPR149","ENSG00000174948","G protein-coupled receptor 149"
"GPRC5B","ENSG00000167191","G protein-coupled receptor class C group 5 member B"
"GRID2IP","ENSG00000215045","Grid2 interacting protein"
"GRN","ENSG00000030582","granulin precursor"
"GSDMD","ENSG00000104518","gasdermin D"
"GTF2H3","ENSG00000111358","general transcription factor IIH subunit 3"
"GUCY2D","ENSG00000132518","guanylate cyclase 2D, retinal"
"HAVCR1","ENSG00000113249","hepatitis A virus cellular receptor 1"
"HAVCR2","ENSG00000135077","hepatitis A virus cellular receptor 2"
"HDAC2-AS2","ENSG00000228624","HDAC2 and HS3ST5 antisense RNA 2"
"HGFAC","ENSG00000109758","HGF activator"
"HIBADH","ENSG00000106049","3-hydroxyisobutyrate dehydrogenase"
"HIRIP3","ENSG00000149929","HIRA interacting protein 3"
"HMGCL","ENSG00000117305","3-hydroxy-3-methylglutaryl-CoA lyase"
"HS3ST5","ENSG00000249853","heparan sulfate-glucosamine 3-sulfotransferase 5"
"HSD3B7","ENSG00000099377","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7"
"HSPA5","ENSG00000044574","heat shock protein family A (Hsp70) member 5"
"HTRA1","ENSG00000166033","HtrA serine peptidase 1"
"IAH1","ENSG00000134330","isoamyl acetate hydrolyzing esterase 1 (putative)"
"ICA1L","ENSG00000163596","islet cell autoantigen 1 like"
"IDUA","ENSG00000127415","alpha-L-iduronidase"
"IGF2R","ENSG00000197081","insulin like growth factor 2 receptor"
"IGHV6-1","ENSG00000211933","immunoglobulin heavy variable 6-1"
"IL34","ENSG00000157368","interleukin 34"
"INAVA","ENSG00000163362","innate immunity activator"
"INO80E","ENSG00000169592","INO80 complex subunit E"
"INPP5D","ENSG00000168918","inositol polyphosphate-5-phosphatase D"
"INTS1","ENSG00000164880","integrator complex subunit 1"
"INTS8","ENSG00000164941","integrator complex subunit 8"
"IPMK","ENSG00000151151","inositol polyphosphate multikinase"
"IQCD","ENSG00000166578",NA
"IQCK","ENSG00000174628","IQ motif containing K"
"IRF2BP1","ENSG00000170604","interferon regulatory factor 2 binding protein 1"
"ISOC2","ENSG00000063241","isochorismatase domain containing 2"
"ISYNA1","ENSG00000105655","inositol-3-phosphate synthase 1"
"ITGA2B","ENSG00000005961","integrin subunit alpha 2b"
"ITGAM","ENSG00000169896","integrin subunit alpha M"
"ITGB1BP1","ENSG00000119185","integrin subunit beta 1 binding protein 1"
"JAZF1","ENSG00000153814","JAZF zinc finger 1"
"JOSD1","ENSG00000100221","Josephin domain containing 1"
"KANSL1","ENSG00000120071","KAT8 regulatory NSL complex subunit 1"
"KAT5","ENSG00000172977","lysine acetyltransferase 5"
"KAT8","ENSG00000103510","lysine acetyltransferase 8"
"KBTBD4","ENSG00000123444","kelch repeat and BTB domain containing 4"
"KCNAB3","ENSG00000170049","potassium voltage-gated channel subfamily A regulatory beta subunit 3"
"KCTD13","ENSG00000174943","potassium channel tetramerization domain containing 13"
"KDSR","ENSG00000119537","3-ketodihydrosphingosine reductase"
"KIAA2012","ENSG00000182329","KIAA2012"
"KIF21B","ENSG00000116852","kinesin family member 21B"
"KIR3DL1","ENSG00000167633","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1"
"KLF16","ENSG00000129911","KLF transcription factor 16"
"KLHDC9","ENSG00000162755","kelch domain containing 9"
"KNOP1","ENSG00000103550","lysine rich nucleolar protein 1"
"KPNB1","ENSG00000108424","karyopherin subunit beta 1"
"LAMC1","ENSG00000135862","laminin subunit gamma 1"
"LDHAL6A","ENSG00000166800","lactate dehydrogenase A like 6A"
"LDHC","ENSG00000166796","lactate dehydrogenase C"
"LILRA2","ENSG00000239998","leukocyte immunoglobulin like receptor A2"
"LILRA5","ENSG00000187116","leukocyte immunoglobulin like receptor A5"
"LILRB1","ENSG00000104972","leukocyte immunoglobulin like receptor B1"
"LILRB4","ENSG00000186818","leukocyte immunoglobulin like receptor B4"
"LINC02210","ENSG00000204650","long intergenic non-protein coding RNA 2210"
"LINC02210-CRHR1","ENSG00000263715","LINC02210-CRHR1 readthrough"
"LLGL1","ENSG00000131899","LLGL scribble cell polarity complex component 1"
"LRRC25","ENSG00000175489","leucine rich repeat containing 25"
"LRRC37A","ENSG00000176681","leucine rich repeat containing 37A"
"LRRC37A2","ENSG00000238083","leucine rich repeat containing 37 member A2"
"LRRC37A4P","ENSG00000214425","leucine rich repeat containing 37 member A4, pseudogene"
"LZTS1","ENSG00000061337","leucine zipper tumor suppressor 1"
"MADD","ENSG00000110514","MAP kinase activating death domain"
"MAF","ENSG00000178573","MAF bZIP transcription factor"
"MAFK","ENSG00000198517","MAF bZIP transcription factor K"
"MALAT1","ENSG00000251562","metastasis associated lung adenocarcinoma transcript 1"
"MAMSTR","ENSG00000176909","MEF2 activating motif and SAP domain containing transcriptional regulator"
"MAPK13","ENSG00000156711","mitogen-activated protein kinase 13"
"MAPK3","ENSG00000102882","mitogen-activated protein kinase 3"
"MAPK9","ENSG00000050748","mitogen-activated protein kinase 9"
"MAPKAPK5","ENSG00000089022","MAPK activated protein kinase 5"
"MAPT","ENSG00000186868","microtubule associated protein tau"
"MARCHF7","ENSG00000136536","membrane associated ring-CH-type finger 7"
"MARCKS","ENSG00000277443","myristoylated alanine rich protein kinase C substrate"
"MARK4","ENSG00000007047","microtubule affinity regulating kinase 4"
"MAT1A","ENSG00000151224","methionine adenosyltransferase 1A"
"MBOAT7","ENSG00000125505","membrane bound acylglycerophosphatidylinositol O-acyltransferase MBOAT7"
"MEGF8","ENSG00000105429","multiple EGF like domains 8"
"MGAT3","ENSG00000128268","beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"
"MICALL2","ENSG00000164877","MICAL like 2"
"MIEF2","ENSG00000177427","mitochondrial elongation factor 2"
"MINDY2","ENSG00000128923","MINDY lysine 48 deubiquitinase 2"
"MIR1909","ENSG00000284216","microRNA 1909"
"MKKS","ENSG00000125863","MKKS centrosomal shuttling protein"
"MORF4L1","ENSG00000185787","mortality factor 4 like 1"
"MRPS33","ENSG00000090263","mitochondrial ribosomal protein S33"
"MS4A4A","ENSG00000110079","membrane spanning 4-domains A4A"
"MS4A4E","ENSG00000214787","membrane spanning 4-domains A4E"
"MS4A6A","ENSG00000110077","membrane spanning 4-domains A6A"
"MTCH2","ENSG00000109919","mitochondrial carrier 2"
"MYBPC3","ENSG00000134571","myosin binding protein C3"
"MYL4","ENSG00000198336","myosin light chain 4"
"MYL5","ENSG00000215375","myosin light chain 5"
"MYO15A","ENSG00000091536","myosin XVA"
"MYO7B","ENSG00000169994","myosin VIIB"
"MYPOP","ENSG00000176182","Myb related transcription factor, partner of profilin"
"NAPRT","ENSG00000147813","nicotinate phosphoribosyltransferase"
"NBEAL1","ENSG00000144426","neurobeachin like 1"
"NCK2","ENSG00000071051","NCK adaptor protein 2"
"NDUFA11","ENSG00000174886","NADH:ubiquinone oxidoreductase subunit A11"
"NDUFAF6","ENSG00000156170","NADH:ubiquinone oxidoreductase complex assembly factor 6"
"NDUFAF7","ENSG00000003509","NADH:ubiquinone oxidoreductase complex assembly factor 7"
"NDUFS2","ENSG00000158864","NADH:ubiquinone oxidoreductase core subunit S2"
"NDUFS3","ENSG00000213619","NADH:ubiquinone oxidoreductase core subunit S3"
"NEURL4","ENSG00000215041","neuralized E3 ubiquitin protein ligase 4"
"NFYA","ENSG00000001167","nuclear transcription factor Y subunit alpha"
"NGEF","ENSG00000066248","neuronal guanine nucleotide exchange factor"
"NIPAL3","ENSG00000001461","NIPA like domain containing 3"
"NMT1","ENSG00000136448","N-myristoyltransferase 1"
"NOL3","ENSG00000140939","nucleolar protein 3"
"NOP53","ENSG00000105373","NOP53 ribosome biogenesis factor"
"NPIPB12","ENSG00000169203","nuclear pore complex interacting protein family member B12"
"NPIPB13","ENSG00000198064","nuclear pore complex interacting protein family, member B13"
"NPIPB3","ENSG00000283738","nuclear pore complex interacting protein family member B3"
"NR1H3","ENSG00000025434","nuclear receptor subfamily 1 group H member 3"
"NRF1","ENSG00000106459","nuclear respiratory factor 1"
"NSF","ENSG00000073969","N-ethylmaleimide sensitive factor, vesicle fusing ATPase"
"NSFP1","ENSG00000260075","N-ethylmaleimide-sensitive factor pseudogene 1"
"NTN5","ENSG00000142233","netrin 5"
"NUDT14","ENSG00000183828","nudix hydrolase 14"
"NUP160","ENSG00000030066","nucleoporin 160"
"NUP88","ENSG00000108559","nucleoporin 88"
"OARD1","ENSG00000124596","O-acyl-ADP-ribose deacylase 1"
"OMG","ENSG00000126861","oligodendrocyte myelin glycoprotein"
"OPA3","ENSG00000125741","outer mitochondrial membrane lipid metabolism regulator OPA3"
"OR1E1","ENSG00000180016","olfactory receptor family 1 subfamily E member 1"
"OR6P1","ENSG00000186440","olfactory receptor family 6 subfamily P member 1"
"OTULIN","ENSG00000154124","OTU deubiquitinase with linear linkage specificity"
"PABPC1","ENSG00000070756","poly(A) binding protein cytoplasmic 1"
"PACS2","ENSG00000179364","phosphofurin acidic cluster sorting protein 2"
"PALM","ENSG00000099864","paralemmin"
"PCDHB4","ENSG00000081818","protocadherin beta 4"
"PCDHB9","ENSG00000177839","protocadherin beta 9"
"PCP4L1","ENSG00000248485","Purkinje cell protein 4 like 1"
"PDPR","ENSG00000090857","pyruvate dehydrogenase phosphatase regulatory subunit"
"PFAS","ENSG00000178921","phosphoribosylformylglycinamidine synthase"
"PFKFB2","ENSG00000123836","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"
"PHB","ENSG00000167085",NA
"PHLPP2","ENSG00000040199","PH domain and leucine rich repeat protein phosphatase 2"
"PICALM","ENSG00000073921","phosphatidylinositol binding clathrin assembly protein"
"PILRA","ENSG00000085514","paired immunoglobin like type 2 receptor alpha"
"PILRB","ENSG00000121716","paired immunoglobin like type 2 receptor beta"
"PITPNM2","ENSG00000090975","phosphatidylinositol transfer protein membrane associated 2"
"PLA2G15","ENSG00000103066","phospholipase A2 group XV"
"PLBD2","ENSG00000151176","phospholipase B domain containing 2"
"PLCD3","ENSG00000161714","phospholipase C delta 3"
"PLCG2","ENSG00000197943","phospholipase C gamma 2"
"PLEC","ENSG00000178209","plectin"
"PLEKHA1","ENSG00000107679","pleckstrin homology domain containing A1"
"PLEKHM1","ENSG00000225190","pleckstrin homology and RUN domain containing M1"
"PLK1","ENSG00000166851","polo like kinase 1"
"PNMA8A","ENSG00000182013","PNMA family member 8A"
"PNMA8C","ENSG00000277531","PNMA family member 8C"
"PNRC2","ENSG00000189266","proline rich nuclear receptor coactivator 2"
"POLR2E","ENSG00000099817","RNA polymerase II, I and III subunit E"
"POLR3B","ENSG00000013503","RNA polymerase III subunit B"
"PPM1E","ENSG00000175175","protein phosphatase, Mg2+/Mn2+ dependent 1E"
"PPP4C","ENSG00000149923","protein phosphatase 4 catalytic subunit"
"PRKD3","ENSG00000115825","protein kinase D3"
"PRKRIP1","ENSG00000128563","PRKR interacting protein 1"
"PRPF8","ENSG00000174231","pre-mRNA processing factor 8"
"PRSS23","ENSG00000150687","serine protease 23"
"PRSS36","ENSG00000178226","serine protease 36"
"PRSS53","ENSG00000151006","serine protease 53"
"PRSS8","ENSG00000052344","serine protease 8"
"PSMC3","ENSG00000165916","proteasome 26S subunit, ATPase 3"
"PSMD3","ENSG00000108344","proteasome 26S subunit, non-ATPase 3"
"PTBP1","ENSG00000011304","polypyrimidine tract binding protein 1"
"PTGES3L-AARSD1","ENSG00000108825","PTGES3L-AARSD1 readthrough"
"PTK2B","ENSG00000120899","protein tyrosine kinase 2 beta"
"PTPMT1","ENSG00000110536","protein tyrosine phosphatase mitochondrial 1"
"PTPN11","ENSG00000179295","protein tyrosine phosphatase non-receptor type 11"
"PTPRJ","ENSG00000149177","protein tyrosine phosphatase receptor type J"
"PVRIG","ENSG00000213413","PVR related immunoglobulin domain containing"
"PYCARD","ENSG00000103490","PYD and CARD domain containing"
"QPCT","ENSG00000115828","glutaminyl-peptide cyclotransferase"
"RABAC1","ENSG00000105404","Rab acceptor 1"
"RABEP1","ENSG00000029725","rabaptin, RAB GTPase binding effector protein 1"
"RAD51C","ENSG00000108384","RAD51 paralog C"
"RAMP2","ENSG00000131477","receptor activity modifying protein 2"
"RANBP10","ENSG00000141084","RAN binding protein 10"
"RASA1","ENSG00000145715","RAS p21 protein activator 1"
"RASAL1","ENSG00000111344","RAS protein activator like 1"
"RASAL2","ENSG00000075391","RAS protein activator like 2"
"RASGEF1C","ENSG00000146090","RasGEF domain family member 1C"
"RASGRF1","ENSG00000058335","Ras protein specific guanine nucleotide releasing factor 1"
"RASIP1","ENSG00000105538","Ras interacting protein 1"
"RCOR1","ENSG00000089902","REST corepressor 1"
"RECQL5","ENSG00000108469","RecQ like helicase 5"
"REX1BD","ENSG00000006015","required for excision 1-B domain containing"
"REXO1","ENSG00000079313","RNA exonuclease 1 homolog"
"RFPL4A","ENSG00000223638","ret finger protein like 4A"
"RHOH","ENSG00000168421","ras homolog family member H"
"RHPN2","ENSG00000131941","rhophilin Rho GTPase binding protein 2"
"RIN3","ENSG00000100599","Ras and Rab interactor 3"
"RITA1","ENSG00000139405","RBPJ interacting and tubulin associated 1"
"RNASEH2C","ENSG00000172922","ribonuclease H2 subunit C"
"RND2","ENSG00000108830","Rho family GTPase 2"
"RNF111","ENSG00000157450","ring finger protein 111"
"RNF40","ENSG00000103549","ring finger protein 40"
"RPA3","ENSG00000106399","replication protein A3"
"RPAIN","ENSG00000129197","RPA interacting protein"
"RPRML","ENSG00000179673","reprimo like"
"RPS27L","ENSG00000185088","ribosomal protein S27 like"
"RPS9","ENSG00000170889","ribosomal protein S9"
"RTF2","ENSG00000022277","replication termination factor 2"
"RTN4RL2","ENSG00000186907","reticulon 4 receptor like 2"
"RUNDC1","ENSG00000198863","RUN domain containing 1"
"SAFB2","ENSG00000130254","scaffold attachment factor B2"
"SAT2","ENSG00000141504","spermidine/spermine N1-acetyltransferase family member 2"
"SCARA3","ENSG00000168077","scavenger receptor class A member 3"
"SCARB1","ENSG00000073060","scavenger receptor class B member 1"
"SCARF1","ENSG00000074660","scavenger receptor class F member 1"
"SCIMP","ENSG00000161929","SLP adaptor and CSK interacting membrane protein"
"SCNN1B","ENSG00000168447","sodium channel epithelial 1 subunit beta"
"SCNN1G","ENSG00000166828","sodium channel epithelial 1 subunit gamma"
"SEMA3F","ENSG00000001617","semaphorin 3F"
"SEPHS2","ENSG00000179918","selenophosphate synthetase 2"
