ADlocus,ADlocusID,locus_index,n_variants,status
chr5_22,chr5_151052827_151052827,37,1,coloc-retained
chr5_27,chr5_151053886_151058723,38,6,coloc-retained
chr5_29,chr5_157080416_157120020,39,41,coloc-retained
chr5_38,chr5_177508158_177561486,40,35,coloc-retained
chr5_45,chr5_180197032_180202485,41,2,coloc-retained
chr6_17,chr6_40897501_40974457,42,4,coloc-retained
chr6_25,chr6_41025060_41077540,43,19,coloc-retained
chr6_26,chr6_41053109_41161469,44,2,coloc-retained
chr6_29,chr6_41191794_41194977,45,9,coloc-retained
chr6_31,chr6_41232872_41242525,46,31,coloc-retained
chr6_32,chr6_47459545_47619558,47,72,coloc-retained
chr6_53,chr6_114291731_114400533,48,32,coloc-retained
chr7_1,chr7_1517129_1556203,49,86,coloc-retained
chr7_6,chr7_7811676_7817263,50,9,coloc-retained
chr7_11,chr7_12194394_12226141,51,7,coloc-retained
chr7_13,chr7_12210752_12245514,52,83,coloc-retained
chr7_20,chr7_28116987_28199847,53,16,coloc-retained
chr7_26,chr7_50417367_50461751,54,17,coloc-retained
chr7_27,chr7_54853213_54899045,55,6,coloc-retained
chr7_35,chr7_100022654_100229525,56,57,coloc-retained
chr7_38,chr7_100334426_100494172,57,8,coloc-retained
chr7_49,chr7_129108747_129129991,58,5,coloc-retained
chr7_50,chr7_129623556_129670283,59,11,coloc-retained
chr7_51,chr7_143391433_143407238,60,4,coloc-retained
chr7_59,chr7_143402040_143412115,61,6,coloc-retained
chr7_61,chr7_143413669_143414203,62,3,coloc-retained
chr8_2,chr8_11808828_11871913,63,3,coloc-retained
chr8_8,chr8_20354018_20383427,64,41,coloc-retained
chr8_10,chr8_27337604_27374501,65,11,coloc-retained
chr8_31,chr8_27598736_27610986,67,10,coloc-retained
chr8_46,chr8_94942846_94976153,68,45,coloc-retained
chr8_49,chr8_94987509_95038329,69,4,coloc-retained
chr8_50,chr8_97317264_97348804,70,9,coloc-retained
chr8_51,chr8_100661688_100668876,71,13,coloc-retained
chr8_60,chr8_125515868_125532731,72,32,coloc-retained
chr8_62,chr8_125564458_125568924,73,6,coloc-retained
chr8_64,chr8_143551787_143565901,74,8,coloc-retained
chr8_72,chr8_143967775_144042819,75,2,coloc-retained
chr8_69,chr8_143944186_144099319,76,6,coloc-retained
chr9_1,chr9_104898848_104898848,77,4,coloc-retained
chr10_1,chr10_11672508_11678621,78,8,coloc-retained
chr10_10,chr10_11679103_11681538,79,4,coloc-retained
chr10_13,chr10_58094891_58294727,80,273,coloc-retained
chr10_21,chr10_59778885_59788532,81,10,coloc-retained
chr10_23,chr10_59820507_59908059,82,9,coloc-retained
chr10_24,chr10_59955897_60025913,83,29,coloc-retained
chr10_28,chr10_80486993_80524756,84,16,coloc-retained
chr10_41,chr10_96244776_96402910,85,30,coloc-retained
chr10_51,chr10_122368474_122439069,86,28,coloc-retained
chr10_61,chr10_122370570_122475710,87,49,coloc-retained
chr11_1,chr11_18379264_18461118,88,38,coloc-retained
chr11_3,chr11_46538180_46783211,89,4,coloc-retained
chr11_14,chr11_47387499_47387499,90,1,coloc-retained
chr11_5,chr11_47354897_47881331,91,167,coloc-retained
chr11_17,chr11_60090108_60272444,92,139,coloc-retained
chr11_28,chr11_65832185_65896076,93,19,coloc-retained
chr11_32,chr11_85959902_86157598,94,39,coloc-retained
chr11_47,chr11_121457150_121457150,96,1,coloc-retained
chr11_48,chr11_121494981_121530053,97,14,gwas-rescued
chr11_53,chr11_121564878_121564878,98,1,coloc-retained
chr11_65,chr11_121565295_121607107,99,16,coloc-retained
chr12_1,chr12_7055497_7073858,100,20,coloc-retained
chr12_10,chr12_51354542_51362485,101,7,coloc-retained
chr12_14,chr12_106706728_106875606,102,3,coloc-retained
chr12_15,chr12_113151232_113314997,103,167,coloc-retained
chr12_32,chr12_124834226_124838694,104,8,coloc-retained
chr13_1,chr13_49033278_49202204,105,4,coloc-retained
chr14_3,chr14_52828496_52933911,106,64,coloc-retained
chr14_10,chr14_92464701_92472071,107,29,gwas-rescued
chr14_12,chr14_92472511_92472511,108,1,coloc-retained
chr14_20,chr14_92676516_92676516,109,1,gwas-rescued
chr14_22,chr14_106618321_106765010,110,103,coloc-retained
chr15_3,chr15_49901356_49901356,111,1,gwas-rescued
chr15_5,chr15_49903911_49972642,112,2,gwas-rescued
chr15_7,chr15_50508901_50767930,113,69,coloc-retained
chr15_9,chr15_50510070_50763759,114,56,coloc-retained
chr15_13,chr15_58680796_58823796,115,29,coloc-retained
chr15_26,chr15_63277703_63303679,116,3,coloc-retained
chr15_47,chr15_78936857_78944951,117,8,coloc-retained
chr16_1,chr16_19694877_19931009,118,124,coloc-retained
chr16_7,chr16_23385792_23601679,119,113,coloc-retained
chr16_18,chr16_29913101_30107024,120,112,coloc-retained
chr16_55,chr16_30970904_31137821,121,42,coloc-retained
chr16_61,chr16_31106377_31144137,122,12,coloc-retained
chr16_74,chr16_49850016_49851874,123,4,coloc-retained
chr16_78,chr16_70624321_70658548,124,45,gwas-rescued
chr16_80,chr16_70660097_70661088,125,2,coloc-retained
chr16_83,chr16_70662723_70662723,126,1,coloc-retained
chr16_87,chr16_70684397_70691423,127,5,coloc-retained
chr16_88,chr16_70698379_70706046,128,7,coloc-retained
chr16_90,chr16_79321960_79321960,129,1,gwas-rescued
chr16_91,chr16_79538543_79538543,130,1,coloc-retained
chr16_93,chr16_79562468_79574934,131,7,coloc-retained
chr16_95,chr16_81739662_81740211,132,2,gwas-rescued
chr16_98,chr16_81818984_81908423,133,2,coloc-retained
chr16_101,chr16_81881916_81883307,134,2,gwas-rescued
chr16_102,chr16_81937798_81946414,135,3,gwas-rescued
chr16_104,chr16_90103687_90103687,136,1,gwas-rescued
chr17_1,chr17_1489849_1490859,137,3,coloc-retained
chr17_5,chr17_1727698_1752311,138,29,coloc-retained
chr17_19,chr17_5058224_5365888,139,64,coloc-retained
chr17_31,chr17_7199755_7281773,140,33,coloc-retained
chr17_35,chr17_7581494_7581494,141,1,coloc-retained
chr17_36,chr17_7965745_8003201,142,12,coloc-retained
chr17_37,chr17_18140503_18358422,143,38,coloc-retained
chr17_42,chr17_44352876_44377654,144,11,coloc-retained
chr17_56,chr17_45130257_46788132,145,2754,coloc-retained
chr17_96,chr17_49219935_49219935,146,1,coloc-retained
chr17_101,chr17_49245384_49373413,147,54,coloc-retained
chr17_112,chr17_50955808_51119509,148,52,coloc-retained
chr17_113,chr17_58320645_58332680,149,3,gwas-rescued
chr17_118,chr17_63470201_63498276,150,32,coloc-retained
chr18_1,chr18_32073225_32142519,151,18,coloc-retained
chr18_5,chr18_58522227_58522227,152,1,gwas-rescued
chr18_8,chr18_62484774_62515551,153,11,coloc-retained
chr19_5,chr19_1039324_1039324,154,1,coloc-retained
chr19_6,chr19_1050875_1050875,155,1,coloc-retained
chr19_1,chr19_1038077_1072117,156,20,coloc-retained
chr19_11,chr19_1812683_1856555,157,19,coloc-retained
chr19_14,chr19_5904342_5911036,158,6,coloc-retained
chr19_15,chr19_18400115_18402784,159,4,coloc-retained
chr19_18,chr19_18427932_18520522,160,48,coloc-retained
chr19_19,chr19_32875656_32967082,161,24,coloc-retained
chr19_26,chr19_44908684_44908684,162,1,gwas-rescued
chr19_28,chr19_44960129_45019031,164,2,coloc-retained
chr19_32,chr19_45054044_45054044,166,1,coloc-retained
chr19_34,chr19_48702851_48728969,167,41,coloc-retained
chr19_44,chr19_49948251_49959139,168,7,coloc-retained
chr19_47,chr19_51122452_51125272,169,4,coloc-retained
chr19_52,chr19_51224706_51234736,170,7,coloc-retained
chr19_62,chr19_54251846_54283071,171,11,coloc-retained
chr19_65,chr19_54302959_54310548,172,5,coloc-retained
chr19_68,chr19_54553863_54667377,173,112,coloc-retained
chr19_70,chr19_54664811_54664811,174,1,coloc-retained
chr20_1,chr20_1904453_1916796,175,82,coloc-retained
chr20_11,chr20_42371933_42384694,176,5,coloc-retained
chr20_16,chr20_56408019_56450321,177,22,coloc-retained
chr21_1,chr21_25836374_25887087,178,10,coloc-retained
chr21_3,chr21_26105697_26190786,179,19,coloc-retained
chr21_17,chr21_26775872_26784537,180,2,coloc-retained
chr21_20,chr21_39086796_39094818,181,16,coloc-retained
chr22_2,chr22_37817816_37822747,182,4,coloc-retained
chr22_3,chr22_38478391_38756407,183,198,coloc-retained
new_chr19_1,chr19_1056493_27703622,184,3,novel
